Datetime,Power,Wind_speed,Theoretical_power,Loss_power,x_com,y_com,T_1
2018-03-03 07:00:00,3529.2956542968714,18.692211786905883,3600.0,70.70434570312834,-18.066269203581218,-4.517126516854282,3516.2221679687464
2018-03-03 08:00:00,3477.891682942705,18.668360074361132,3600.0,122.108317057295,-17.00776977709761,-7.663071700505391,3529.2956542968714
2018-03-03 09:00:00,3490.7751464843714,19.76700528462723,3600.0,109.22485351562834,-15.943652462538394,-11.64310348392693,3477.891682942705
2018-03-03 10:00:00,3465.2465006510397,19.226236343383732,3600.0,134.75349934896,-16.352112968431438,-10.011634745518846,3490.7751464843714
2018-03-03 11:00:00,3501.0935465494767,16.515063285827615,3600.0,98.90645345052333,-9.537465077058288,-12.888646956130275,3465.2465006510397
2018-03-03 12:00:00,3556.71398925781,15.012809912363634,3598.507496928288,41.79350767047837,-3.481989136944094,-14.528442825433991,3501.0935465494767
2018-03-03 13:00:00,3583.7476399739567,15.222658475240001,3600.0,16.252360026043334,-3.1620067317626,-14.872894202425222,3556.71398925781
2018-03-03 14:00:00,3577.7798665364567,14.169743220011334,3600.0,22.220133463543334,-3.9352755256043443,-13.565192026048548,3583.7476399739567
2018-03-03 15:00:00,3580.37080891927,13.6537148157755,3588.3651142749,7.994305355630028,-3.693459660570548,-13.13858658624104,3577.7798665364567
2018-03-03 16:00:00,3571.5847981770817,12.946149984995484,3592.459384403468,20.87458622638663,-5.0649211999351635,-11.911061965936822,3580.37080891927
2018-03-03 17:00:00,3486.569702148435,13.147026697794532,3564.2049577119483,77.63525556351335,-6.523524971024572,-11.321557038151361,3571.5847981770817
2018-03-03 18:00:00,3602.778483072913,15.425035158793085,3600.0,-2.778483072913332,-11.39553343577903,-10.351944301502277,3486.569702148435
2018-03-03 19:00:00,3603.0449625651036,15.707268555959017,3600.0,-3.044962565103333,-13.437341570112252,-8.126793143422429,3602.778483072913
2018-03-03 20:00:00,3603.042480468748,16.85754140218093,3600.0,-3.0424804687483324,-14.228392490669108,-9.004676277016399,3603.0449625651036
2018-03-03 21:00:00,3602.810506184895,16.79701519012445,3600.0,-2.8105061848949995,-14.846826121805504,-7.842958352791949,3603.042480468748
2018-03-03 22:00:00,3595.0598551432267,14.597308476765884,3598.2314583698585,3.171603226631684,-12.016729808012363,-8.266171409223249,3602.810506184895
2018-03-03 23:00:00,3394.508178710935,13.1901884078979,3450.5684018065785,56.0602230956434,-12.140477078225866,-4.482122641496477,3595.0598551432267
2018-03-04 00:00:00,328.7500483194985,5.153757572174067,380.13162337179216,51.38157505229367,4.966370156159306,0.2661824063017975,3394.508178710935
2018-03-04 01:00:00,293.6536000569657,5.021404822667433,346.3865494211448,52.732949364179156,4.760329733870232,1.5870961932976548,328.7500483194985
2018-03-04 02:00:00,35.53995906313251,3.1998035510380998,45.86225968537608,10.322300622243574,3.0290967750667455,0.9586507555361462,293.6536000569657
2018-03-04 03:00:00,0.0,2.850110006332394,8.79295024376042,8.79295024376042,2.821278237250494,0.3717121600451958,35.53995906313251
2018-03-04 04:00:00,0.0,2.7873831590016636,5.5544326393132835,5.5544326393132835,2.5807856557172104,0.9308470570587094,0.0
2018-03-04 05:00:00,0.0,2.894875812530512,6.32314991427502,6.32314991427502,2.610141897841711,1.2087628943363595,0.0
2018-03-04 06:00:00,0.0,2.2439198295275333,0.0,0.0,1.8640712861342363,1.234008092043404,0.0
2018-03-04 07:00:00,0.0,2.165946841239925,0.0,0.0,1.573928316129006,1.458579355486948,0.0
2018-03-04 08:00:00,0.0,2.3351858059565167,0.0,0.0,1.9454264911634045,1.2609182779105257,0.0
2018-03-04 09:00:00,0.0,2.174344201882675,0.0,0.0,1.8990673460853056,1.0108279382541336,0.0
